,timestamp,sensor_id,sensor,measurement,sensor_type,value
211,2025-08-24T12:47:10.717,ESP32,DHT11,temperature-humidity,humidity,20
212,2025-08-24T12:47:13.837,ESP32,DHT11,temperature-humidity,temperature,21
213,2025-08-24T12:47:13.837,ESP32,DHT11,temperature-humidity,humidity,35
214,2025-08-24T12:47:16.448,ESP32,DHT11,temperature-humidity,temperature,21
215,2025-08-24T12:47:16.448,ESP32,DHT11,temperature-humidity,humidity,20
216,2025-08-24T12:47:19.572,ESP32,DHT11,temperature-humidity,temperature,21
217,2025-08-24T12:47:19.572,ESP32,DHT11,temperature-humidity,humidity,20
218,2025-08-24T12:47:22.644,ESP32,DHT11,temperature-humidity,temperature,21
219,2025-08-24T12:47:22.644,ESP32,DHT11,temperature-humidity,humidity,20
220,2025-08-24T12:47:25.191,ESP32,DHT11,temperature-humidity,temperature,21
221,2025-08-24T12:47:25.191,ESP32,DHT11,temperature-humidity,humidity,20
222,2025-08-24T12:47:28.378,ESP32,DHT11,temperature-humidity,temperature,21
223,2025-08-24T12:47:28.378,ESP32,DHT11,temperature-humidity,humidity,20
224,2025-08-24T12:47:31.451,ESP32,DHT11,temperature-humidity,temperature,22
225,2025-08-24T12:47:31.451,ESP32,DHT11,temperature-humidity,humidity,20
226,2025-08-24T12:47:34.522,ESP32,DHT11,temperature-humidity,humidity,20
227,2025-08-24T12:47:34.522,ESP32,DHT11,temperature-humidity,temperature,21
228,2025-08-24T12:47:40.005,ESP32,DHT11,temperature-humidity,humidity,20
229,2025-08-24T12:47:40.005,ESP32,DHT11,temperature-humidity,temperature,22
230,2025-08-24T12:47:45.481,ESP32,DHT11,temperature-humidity,temperature,21
231,2025-08-24T12:47:45.481,ESP32,DHT11,temperature-humidity,humidity,20
232,2025-08-24T12:47:49.416,ESP32,DHT11,temperature-humidity,humidity,20
233,2025-08-24T12:47:49.416,ESP32,DHT11,temperature-humidity,temperature,21
234,2025-08-24T12:47:52.545,ESP32,DHT11,temperature-humidity,temperature,21
235,2025-08-24T12:47:52.545,ESP32,DHT11,temperature-humidity,humidity,20
236,2025-08-24T12:47:55.114,ESP32,DHT11,temperature-humidity,temperature,22
237,2025-08-24T12:47:55.114,ESP32,DHT11,temperature-humidity,humidity,20
238,2025-08-24T12:47:57.606,ESP32,DHT11,temperature-humidity,temperature,24
239,2025-08-24T12:47:57.606,ESP32,DHT11,temperature-humidity,humidity,19
240,2025-08-24T12:48:05.552,ESP32,DHT11,temperature-humidity,temperature,21
241,2025-08-24T12:48:05.552,ESP32,DHT11,temperature-humidity,humidity,35
242,2025-08-24T12:48:08.725,ESP32,DHT11,temperature-humidity,humidity,20
243,2025-08-24T12:48:08.725,ESP32,DHT11,temperature-humidity,temperature,22
244,2025-08-24T12:48:11.273,ESP32,DHT11,temperature-humidity,temperature,21
245,2025-08-24T12:48:11.273,ESP32,DHT11,temperature-humidity,humidity,20
246,2025-08-24T12:48:14.193,ESP32,DHT11,temperature-humidity,humidity,20
247,2025-08-24T12:48:14.193,ESP32,DHT11,temperature-humidity,temperature,22
248,2025-08-24T12:48:17.962,ESP32,DHT11,temperature-humidity,temperature,22
249,2025-08-24T12:48:17.962,ESP32,DHT11,temperature-humidity,humidity,20
